NM_RAZAO_SOCIAL;CD_PROCESSO_SUSEP;NR_PROPOSTA;ID_PROPOSTA;DT_PROPOSTA;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA;NM_SEGURADO;NR_DOCUMENTO_SEGURADO;NM_MUNICIPIO_PROPRIEDADE;SG_UF_PROPRIEDADE;LATITUDE;NR_GRAU_LAT;NR_MIN_LAT;NR_SEG_LAT;LONGITUDE;NR_GRAU_LONG;NR_MIN_LONG;NR_SEG_LONG;NR_DECIMAL_LATITUDE;NR_DECIMAL_LONGITUDE;NM_CLASSIF_PRODUTO;NM_CULTURA_GLOBAL;NR_AREA_TOTAL;NR_ANIMAL;NR_PRODUTIVIDADE_ESTIMADA;NR_PRODUTIVIDADE_SEGURADA;NivelDeCobertura;VL_LIMITE_GARANTIA;VL_PREMIO_LIQUIDO;PE_TAXA;VL_SUBVENCAO_FEDERAL;NR_APOLICE;DT_APOLICE;ANO_APOLICE;CD_GEOCMU;VALOR_INDENIZAÇÃO;EVENTO_PREPONDERANTE
Aliança do Brasil Seguros S/A.;15414901479201927;55673994;1554722;07/01/2022;07/01/2022;07/01/2023;ANONIMIZADO;***;Terra Roxa;PR;-;-;-;-;-;-;-;-;-24,0946;-54,0341;CUSTEIO;Milho 2ª safra;70;-;7200;4680;0,65;424800;49560;0,116666667;19824;24059;10/01/2022;2022;4127403;350647,57; VENTOS FORTES/FRIOS
Aliança do Brasil Seguros S/A.;15414901479201927;51732422;1143980;09/06/2020;09/06/2020;09/06/2021;ANONIMIZADO;***;Nossa Senhora Aparecida;SE;S;10;25;48;W;37;29;40;-;-;CUSTEIO;Milho 1ª safra;76,63;-;6000;3900;0,65;147992,45;11757,17;0,079444391;2939,29;12344;12/06/2020;2020;2804458;67706,55; CHUVA EXCESSIVA
Aliança do Brasil Seguros S/A.;15414901479201927;55775322;1552256;22/01/2022;22/01/2022;22/01/2023;ANONIMIZADO;***;Anahy;PR;-;-;-;-;-;-;-;-;-24,653;-53,1696;CUSTEIO;Milho 2ª safra;22;-;3900;2535;0,65;108900;12705;0,116666667;5082;24352;26/01/2022;2022;4101051;36600,97; VENTOS FORTES/FRIOS
Aliança do Brasil Seguros S/A.;15414901479201927;55763752;1558859;21/01/2022;21/01/2022;21/01/2023;ANONIMIZADO;***;São Carlos do Ivaí;PR;-;-;-;-;-;-;-;-;-23,308;-52,4995;CUSTEIO;Milho 2ª safra;38;-;5248;3411,2;0,65;115192;13439,06;0,116666609;5375,62;24376;26/01/2022;2022;4124608;0; VENTOS FORTES/FRIOS
Aliança do Brasil Seguros S/A.;15414901479201927;54536953;1392018;01/07/2021;01/07/2021;01/07/2022;ANONIMIZADO;***;Redentora;RS;S;27;40;59;W;53;39;51;-;-;CUSTEIO;Trigo;11;-;3402,9;2211,89;0,650001469;130374,75;4005,11;0,030719982;1602,04;20534;05/07/2021;2021;4315404;0; GRANIZO
Aliança do Brasil Seguros S/A.;15414901479201927;50457115;1045329;12/09/2019;12/09/2019;11/09/2020;ANONIMIZADO;***;São Luiz Gonzaga;RS;S;28;18;28;W;54;58;55;-;-;CUSTEIO;Soja;203,7;-;3300;2310;0,7;407400;33335,74;0,081825577;11667,51;8200;27/09/2019;2019;4318903;219466,38; SECA
Aliança do Brasil Seguros S/A.;15414901479201927;50405406;1045771;03/09/2019;03/09/2019;02/09/2020;ANONIMIZADO;***;Palmeiras de Goiás;GO;S;16;43;22;W;50;2;26;-;-;CUSTEIO;Soja;52,52;-;3750;2625;0,7;126048;4540,99;0,036025879;1589,35;8167;27/09/2019;2019;5215702;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;51695725;1125174;05/06/2020;05/06/2020;05/06/2021;ANONIMIZADO;***;Manoel Viana;RS;S;29;19;41;W;55;33;47;-;-;CUSTEIO;Trigo;50;-;2633;1711,45;0,65;75000;12000;0,16;4800;12309;08/06/2020;2020;4311759;22829; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;60053647;1984578;06/12/2024;06/12/2024;06/12/2025;ANONIMIZADO;***;Floraí;PR;-;-;-;-;-;-;-;-;-23,32202;-52,409231;CUSTEIO;Milho 2ª safra;46;-;4480;3360;0,75;403941,76;28353;0,070190812;11341,2;9649;06/01/2025;2025;4107801;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;51429514;1117053;31/03/2020;31/03/2020;31/03/2021;ANONIMIZADO;***;Nova Xavantina;MT;S;14;51;24;W;52;22;36;-;-;CUSTEIO;Soja;120;-;3750;2625;0,7;266970;9403,27;0,035222197;2350,82;11184;02/04/2020;2020;5106257;78223,27; CHUVA EXCESSIVA
Aliança do Brasil Seguros S/A.;15414901479201927;51429463;1096204;31/03/2020;31/03/2020;31/03/2021;ANONIMIZADO;***;Capão do Cipó;RS;S;28;47;26;W;54;39;23;-;-;CUSTEIO;Trigo;150;-;2904;1887,6;0,65;198225;31716;0,16;11100,6;11156;02/04/2020;2020;4304655;45874,42; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;60053652;1984613;06/12/2024;06/12/2024;06/12/2025;ANONIMIZADO;***;São Carlos do Ivaí;PR;-;-;-;-;-;-;-;-;-23,273914;-52,519891;CUSTEIO;Milho 2ª safra;34;-;4320;3240;0,75;252837,31;18978,41;0,075061746;7591,36;9654;06/01/2025;2025;4124608;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;54303334;1359964;01/06/2021;01/06/2021;01/06/2022;ANONIMIZADO;***;Colônia Vitória;PR;S;25;32;59;W;51;47;1;-;-;CUSTEIO;Trigo;28;-;4500;3150;0,7;420000;4685,33;0,011155548;1874,13;20019;10/06/2021;2021;4109401;0; GRANIZO
Aliança do Brasil Seguros S/A.;15414901479201927;54713578;1412427;27/07/2021;27/07/2021;27/07/2022;ANONIMIZADO;***;Porto Mauá;RS;S;27;35;53;W;54;37;11;-;-;CUSTEIO;Milho 1ª safra;18;-;7000;4550;0,65;92880;8194,07;0,088222115;2048,52;20754;28/07/2021;2021;4315057;0; VENTOS FORTES/FRIOS
Allianz Seguros S.A;15414002759200717;131300718;2011806;10/02/2025;10/02/2025;31/12/2025;ANONIMIZADO;***;Jataí;GO;S;18;2;18;W;51;11;57;-;-;PRODUTIVIDADE;Sorgo;93,69;-;3428,57;2400;0,700000292;224855,91;23609,27;0,104997329;9443,7;5177202579110002740;13/02/2025;2025;5211909;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;51305637;1089249;03/03/2020;03/03/2020;03/03/2021;ANONIMIZADO;***;Palmas;PR;S;26;23;43;W;52;5;28;-;-;CUSTEIO;Milho 2ª safra;32;-;2000;1300;0,65;54400;4352;0,08;1740,8;10289;05/03/2020;2020;4117602;606,12; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;57776637;1677728;10/01/2023;10/01/2023;10/01/2024;ANONIMIZADO;***;São Carlos do Ivaí;PR;-;-;-;-;-;-;-;-;-23,364601;-52,513553;CUSTEIO;Milho 2ª safra;36;-;4062;2640,3;0,65;363312;58536,54;0,161119203;23414,61;3753;16/01/2023;2023;4124608;0; DEMAIS CAUSAS
Aliança do Brasil Seguros S/A.;15414901479201927;55763751;1575622;21/01/2022;21/01/2022;21/01/2023;ANONIMIZADO;***;São Carlos do Ivaí;PR;-;-;-;-;-;-;-;-;-23,2707;-52,4852;CUSTEIO;Milho 2ª safra;89;-;5248;3411,2;0,65;297466,4;34704,4;0,116666622;13881,76;24375;26/01/2022;2022;4124608;0; VENTOS FORTES/FRIOS
Aliança do Brasil Seguros S/A.;15414901479201927;50405386;1045675;30/08/2019;30/08/2019;29/08/2020;ANONIMIZADO;***;Nova Mutum;MT;S;13;46;55;W;55;39;13;-;-;CUSTEIO;Soja;431,93;-;3750;3000;0,8;907053;36182,31;0,039889962;10854,69;8153;27/09/2019;2019;5106224;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;51429712;1104396;01/04/2020;01/04/2020;01/04/2021;ANONIMIZADO;***;Pejuçara;RS;S;28;25;26;W;53;43;12;-;-;CUSTEIO;Trigo;13,9;-;3000;1950;0,65;20366,84;3258,68;0,159999293;1140,54;11424;07/04/2020;2020;4314308;10016,59; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;51429707;1096657;01/04/2020;01/04/2020;01/04/2021;ANONIMIZADO;***;Pejuçara;RS;S;28;25;34;W;53;43;47;-;-;CUSTEIO;Trigo;14,8;-;3000;1950;0,65;21685,55;3469,68;0,159999631;1214,39;11368;06/04/2020;2020;4314308;19820,59; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;53519739;1292421;25/01/2021;25/01/2021;25/01/2022;ANONIMIZADO;***;Reserva do Iguaçu;PR;S;25;48;42;W;51;52;18;-;-;CUSTEIO;Feijão 1ª safra;18;-;2600;1690;0,65;54000;3846;0,071222222;961,5;17629;27/01/2021;2021;4121752;0; GRANIZO
